Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2020-03-13,8.5,10.4,7.9,9.85,24.64,2.28,0.4,6,191084900,92667300,80003100,18414500,11.6,12.22,12.5,-0.66,28.39
2020-03-24,8.8,9.0,8.2,8.25,20.64,1.91,0.4,6,106461500,47347900,50590000,8523600,10.36,11.36,12.25,-1.02,27.66
2020-04-02,8.9,8.95,8.75,8.85,22.14,2.05,0.4,6,42308900,22282300,13322300,6704300,9.73,10.76,12.02,-0.73,37.41
2020-04-14,11.1,11.6,10.9,11.4,28.52,2.64,0.4,6,103030300,45081700,44213500,13735100,9.98,10.64,11.9,0.01,64.72
2020-04-23,11.0,11.2,10.9,11.0,27.52,2.54,0.4,6,32810700,12472300,15395000,4943400,10.43,10.73,11.84,0.28,56.3
2020-05-07,11.3,11.7,11.2,11.6,29.02,2.68,0.4,6,61968300,27827100,24803100,9338100,10.8,10.87,11.8,0.35,60.82
2020-05-18,11.7,11.8,11.6,11.7,29.27,2.7,0.4,6,15424300,4286100,8613700,2524500,11.2,11.08,11.8,0.36,60.24
2020-05-27,12.0,12.1,11.9,11.9,29.77,2.75,0.4,6,20573300,9147500,7232200,4193600,11.51,11.28,11.8,0.31,59.47
2020-06-08,12.1,12.3,11.9,12.0,19.34,2.87,0.62,6,77115100,37393700,33645900,6075500,11.71,11.46,11.82,0.23,58.52
2020-06-17,11.5,11.7,11.4,11.5,18.54,2.75,0.62,6,24848800,7286800,14694100,2867900,11.67,11.5,11.81,0.04,46.05
2020-06-26,11.3,11.4,11.1,11.2,18.05,2.68,0.62,6,26125800,6592200,10077900,9455700,11.56,11.48,11.78,-0.08,39.33
2020-07-08,11.4,11.5,11.3,11.3,18.21,2.71,0.62,6,19250000,6630200,8813200,3806600,11.49,11.46,11.75,-0.07,44.35
2020-07-17,10.9,11.0,10.8,11.0,17.74,2.64,0.62,6,13319200,3615800,6827400,2876000,11.3,11.36,11.71,-0.16,40.02
2020-07-30,10.7,10.8,10.4,10.5,16.93,2.52,0.62,6,36618100,7035500,22342700,7239900,11.03,11.19,11.64,-0.24,32.71
2020-08-10,10.1,10.1,9.9,9.95,16.04,2.38,0.62,6,49020300,13828100,30481600,4710600,10.68,10.96,11.54,-0.31,22.32
2020-08-20,10.3,10.4,10.2,10.3,17.58,2.64,0.59,3,25405600,12742200,7466200,5197200,10.61,10.85,11.47,-0.17,42.39
2020-08-31,10.7,10.8,10.2,10.4,17.75,2.67,0.59,3,51769900,17585800,24147600,10036500,10.56,10.76,11.41,-0.09,45.66
2020-09-11,10.1,10.2,10.0,10.0,17.07,2.57,0.59,3,12812400,5047900,3918200,3846300,10.38,10.61,11.32,-0.16,37.8
2020-09-22,10.1,10.1,9.95,10.0,17.07,2.57,0.59,3,19374500,7092500,9534300,2747700,10.24,10.48,11.24,-0.14,40.96
2020-10-01,9.55,9.65,9.5,9.6,16.38,2.46,0.59,3,22316000,10707500,9227300,2381200,10.01,10.29,11.13,-0.21,34.43
